"Firstname", "Voornaam"
"Lastname", "Achternaam"
"Do you have a giftcard", "Heb je een giftcard?"
"Enter your giftcard here", "Vul hier het unieke nummer van je giftcard in en klik op activeer."
"Activate giftcard code", "activeer je code"
"Deactive giftcard code", "deactiveer je code"
"Giftcard", "Giftcard"
"You are currently using your giftcard", "Je maakt momenteel gebruik van uw giftcard"
"Remove my giftcard from this order", "Als je liever niet gebruik maakt van je giftcard kun je deze verwijderen door op 'deactiveer je code' te drukken."
"Delivery my package to the nearest Kiala point","Bij een Kiala-punt bij je in de buurt"
"Change my Kiala delivery address", "Wijzig mijn Kiala afleveradres"
"Login and your account will be retrieved", "Als je een account hebt, kun je hier inloggen."
"Continue my order", "Verder met afrekenen"
"Your order", "Bestellen"
"remove product", "Verwijderen"
"Subtotal product", "Totaal"
"Product size", "Maat"
"yes", "Ja"
"no", "Nee"
"Please enter first name.", "Veld Voornaam mag niet leeg zijn"
"Please enter last name.", "Veld Achternaam mag niet leeg zijn"
"Please enter street and number.", "Veld Straat en Nummer mogen niet leeg zijn"
"Please enter city.", "Veld Plaats mag niet leeg zijn"
"Please enter telephone.", "Veld Telefoon mag niet leeg zijn"
"Please enter zip/postal code.", "Veld Postcode mag niet leeg zijn"
"Phone", "Telefoon"
"Yes, I've entered the correct information", "Ja, ik heb de juiste gegevens ingevuld"
"No, I'm not sure", "Nee, ik weet het niet zeker"
"Send", "Verzenden"
"House number", "Huisnummer"
"Stores near %s", "Winkels in de buurt van <strong>%s</strong>"
"Delivery my package to the nearest store", "Ik wil mijn bestelling ophalen bij een winkel in de buurt"
"No nearest store was found", "Er kon geen winkel gevonden worden."
"Search a different pickup store", "Zoek een andere winkel"
"Please do not use a PO Box, orders will be automatically send back", "Let op: je kunt geen postbus adres als afleveradres opgeven.<br /> Je bestelling wordt dan automatisch weer retour gestuurd."
"For this order you will receive %s points", "Met deze bestelling spaar je <strong>%s kroontjes</strong>"
"Check budget", "Check saldo"
"Add a different card", "Koppel een andere kaart"
"This customer email already exists.", "Er bestaat al een account met dit e-mailadres. Als dit jouw e-mailadres is, <a href=""/customer/account/forgotpassword/"">klik dan hier</a> om je wachtwoord op te halen en toegang te krijgen tot je account."
"Password:", "Wachtwoord:"
"%s was added to your shopping cart.","%s is toegevoegd aan je shoppingbag."
"Previous step", "Vorige stap"
"Country", "Land"
"City", "Plaats"
"Previous step", "Vorige stap"
"You must select a paymentmethod to continue your order.", "Je moet een betaalmethode selecteren om verder te kunnen gaan met je bestelling."
"Search", "Zoek"
"Newsletter","Nieuwsbrief"
"New Member","Gezinslid toevoegen"
"Please select the account you want to use to register","Maak een keuze uit onderstaande namen. Staat je naam er niet bij? Kies dan voor de optie 'Gezinslid toevoegen'"
"Delivery by PostNL within 1-2 business days","Levering door PostNL binnen 1 &aacute; 2 werkdagen"
"Delivery during regular store supplies within 5 business days","Levering tijdens de reguliere winkelbevoorrading binnen 5 werkdagen."
"Grand Total Incl. Tax","Totaal incl. BTW"
"Grand Total (Incl.Tax)","Totaal (incl. BTW)"
"breadcrumb-order", "Bestellen"
"2. Personal details", "2. Persoonlijke gegevens"
"3. Delivery", "3. Bezorgen"
"4. Payment" , "4. Betalen"
"Smart cart recovery (after customer login)","Slim winkelwagen herstel (samenvoegen na inloggen klant)"
"Merge the old and new shopping cart in a special way?<br />Only restore old items, that are not available in the current shopping cart.<br />We also display a informative message above the shopping cart for the customer.","Voeg de oude winkelwagen op een speciale manier samen met de nieuwe?<br />Voeg alleen oude items toe die niet in de huidige winkelwagen aanwezig zijn.<br />Toon een informatief bercht aan de klant over het herstel van de oude winkelwagen."
"For your convenience we automatically restored the items from your last visit (they are marked).","Voor uw gemak hebben wij de artikelen van uw vorige bezoek (gemarkeerd) toegevoegd aan uw winkelwagen."
"Please select your bank.","Selecteer een bank a.u.b."
